date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:16	124867/124867	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-1e7c3%22	https://mironmahmud.com/greeny/assets/ltr/home-category.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/home-category.html	(from )
13:50:31	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://mironmahmud.com/robots.txt		(from )
13:50:32	11662/11662	---M--	200	added ('OK')	image/png	etag:%22621f6b5d-2d8e%22	https://mironmahmud.com/greeny/assets/ltr/images/favicon.png	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/favicon.png	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:54	8067/8067	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-1f83%22	https://mironmahmud.com/greeny/assets/ltr/fonts/icofont/icofont.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/icofont/icofont.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:55	59128/59128	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-e6f8%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:56	18552/18552	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-4878%22	https://mironmahmud.com/greeny/assets/ltr/vendor/venobox/venobox.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/vendor/venobox/venobox.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:56	1333/1333	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-535%22	https://mironmahmud.com/greeny/assets/ltr/vendor/slickslider/slick.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/vendor/slickslider/slick.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:56	3739/3739	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-e9b%22	https://mironmahmud.com/greeny/assets/ltr/vendor/niceselect/nice-select.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/vendor/niceselect/nice-select.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:56	154546/154546	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-25bb2%22	https://mironmahmud.com/greeny/assets/ltr/vendor/bootstrap/bootstrap.min.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/vendor/bootstrap/bootstrap.min.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:56	106215/106215	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-19ee7%22	https://mironmahmud.com/greeny/assets/ltr/css/main.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/main.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:57	1693/1693	---M-Z	200	added ('OK')	text/css	etag:W/%22621f6b5d-69d%22	https://mironmahmud.com/greeny/assets/ltr/css/home-category.css	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/css/home-category.css	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:57	30325/30325	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-7675%22	https://mironmahmud.com/greeny/assets/ltr/offer.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/offer.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:58	29543/29543	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-7367%22	https://mironmahmud.com/greeny/assets/ltr/faq.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/faq.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:58	54025/54025	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-d309%22	https://mironmahmud.com/greeny/assets/ltr/contact.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/contact.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:58	1186/1186	---M--	200	added ('OK')	image/png	etag:%22621f6b5d-4a2%22	https://mironmahmud.com/greeny/assets/ltr/images/user.png	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/user.png	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:59	25167/25167	---M--	200	added ('OK')	image/png	etag:%22621f6b5d-624f%22	https://mironmahmud.com/greeny/assets/ltr/images/logo.png	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/images/logo.png	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:50:59	125626/125626	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-1eaba%22	https://mironmahmud.com/greeny/assets/ltr/index.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/index.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:01	3309/3309	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-ced%22	https://mironmahmud.com/greeny/assets/ltr/login.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/login.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:01	36602/36602	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-8efa%22	https://mironmahmud.com/greeny/assets/ltr/compare.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/compare.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:02	36952/36952	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-9058%22	https://mironmahmud.com/greeny/assets/ltr/wishlist.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/wishlist.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:03	126251/126251	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-1ed2b%22	https://mironmahmud.com/greeny/assets/ltr/home-classic.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/home-classic.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:03	124191/124191	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-1e51f%22	https://mironmahmud.com/greeny/assets/ltr/home-standard.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/home-standard.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:03	124679/124679	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-1e707%22	https://mironmahmud.com/greeny/assets/ltr/home-grid.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/home-grid.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:04	63275/63275	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-f72b%22	https://mironmahmud.com/greeny/assets/ltr/shop-5column.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/shop-5column.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:04	62787/62787	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-f543%22	https://mironmahmud.com/greeny/assets/ltr/shop-3column.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/shop-3column.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
13:51:04	76590/76590	---M-Z	200	added ('OK')	text/html	etag:W/%22621f6b5d-12b2e%22	https://mironmahmud.com/greeny/assets/ltr/shop-4column.html	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/shop-4column.html	(from https://mironmahmud.com/greeny/assets/ltr/home-category.html)
